Unnamed: 0.1,Unnamed: 0,dataset,rse_id,DTier,size_on_tape_[TB],category
13408,13408,/GluGluToHToZZTo2L2Q_M-220_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07231,DPOA
13421,13421,/Vector1PToZZTo4L_M-125_7TeV-jhu-PYTHIA6_Tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07219,DPOA
13449,13449,/GluGluToHToZZTo4L_M-140_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07187,DPOA
13450,13450,/GluGluToHToZZTo4L_M-190_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07185,DPOA
13470,13470,/GluGluToHToZZTo2L2Q_M-210_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07156,DPOA
13485,13485,/GluGluToHToZZTo4L_M-126_mll1_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07133,DPOA
13499,13499,/GluGluToHToZZTo2L2Q_M-190_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07115,DPOA
13501,13501,/GluGluToHToZZTo4L_M-170_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07114,DPOA
13505,13505,/GluGluToHToZZTo2L2Q_M-130_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07108,DPOA
13529,13529,/GluGluToHToZZTo4L_M-115_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07085,DPOA
13545,13545,/GluGluToHToZZTo4L_M-125_mll1_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07068,DPOA
13559,13559,/GluGluToHToZZTo4L_M-130_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.07033,DPOA
13607,13607,/GluGluToHToZZTo4L_M-124_mll1_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.06977,DPOA
13617,13617,/GluGluToHToZZTo4L_M-160_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.06961,DPOA
13639,13639,/GluGluToHToZZTo4L_M-180_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.06941,DPOA
13652,13652,/GluGluToHToWWToLAndTauNuQQ_M-115_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.0691,DPOA
